Chunks,HasProperNames,Author
" build, and seems to approve of
him.

“Since you have been out, sir, I have been thinking that I
unquestionably know the rooms in Lincoln’s Inn Fields, where Bucket
took the lad, according to his account. Though he is not acquainted
with the name, I can help you to it. It’s Tulkinghorn. That’s what it
is.”

Allan looks at him inquiringly, repeating the name.

“Tulkinghorn. That’s the name, sir. I know the man, and know him to
have been in communication with Bucket before, respecting a deceased
p",T,Charles Dickens
" distressed, but in an incoherent wholesale sort of way. As
to forming any plan for the future, I could as soon have formed an
elephant. When I opened the shutters and looked out at the wet wild
morning, all of a leaden hue; when I walked from room to room; when I
sat down again shivering, before the fire, waiting for my laundress to
appear; I thought how miserable I was, but hardly knew why, or how long
I had been so, or on what day of the week I made the reflection, or
even who I was that made",F,Charles Dickens
"head against the
wall, looking hard at the thoughtful baby; and I could not quite
divest my mind of a fancy that they understood one another.

I have not counted Mr. Woodcourt among our visitors because he was
now Caddy’s regular attendant. She soon began to improve under his
care, but he was so gentle, so skilful, so unwearying in the pains he
took that it is not to be wondered at, I am sure. I saw a good deal
of Mr. Woodcourt during this time, though not so much as might be
supposed, for knowi",T,Charles Dickens
"As I had grown accustomed to my expectations, I had insensibly begun to
notice their effect upon myself and those around me. Their influence on
my own character I disguised from my recognition as much as possible,
but I knew very well that it was not all good. I lived in a state of
chronic uneasiness respecting my behaviour to Joe. My conscience was
not by any means comfortable about Biddy. When I woke up in the
night,—like Camilla,—I used to think, with a weariness on my spirits,
that I should ",T,Charles Dickens
"as closed (for it was midnight),
and where Madame Defarge immediately took her post at her desk, counted
the small moneys that had been taken during her absence, examined the
stock, went through the entries in the book, made other entries of
her own, checked the serving man in every possible way, and finally
dismissed him to bed. Then she turned out the contents of the bowl
of money for the second time, and began knotting them up in her
handkerchief, in a chain of separate knots, for safe keepin",T,Charles Dickens
"art of the country. Of
all the days of my life, I never saw him.”

“Swinging by the chain? To be suffocated?”

“With your gracious permission, that was the wonder of it, Monseigneur.
His head hanging over--like this!”

He turned himself sideways to the carriage, and leaned back, with his
face thrown up to the sky, and his head hanging down; then recovered
himself, fumbled with his cap, and made a bow.

“What was he like?”

“Monseigneur, he was whiter than the miller. All covered with dust,
white",F,Charles Dickens
"t,” I resumed, half groaning, “what precautions can be taken
against your being recognised and seized?”

“No, dear boy,” he said, in the same tone as before, “that don’t go
first. Lowness goes first. I ain’t took so many year to make a
gentleman, not without knowing what’s due to him. Look’ee here, Pip. I
was low; that’s what I was; low. Look over it, dear boy.”

Some sense of the grimly-ludicrous moved me to a fretful laugh, as I
replied, “I _have_ looked over it. In Heaven’s name, don’t harp u",T,Charles Dickens
" minds of
Oswald and Francis that they all pinched me at once, and in a
dreadfully expert way—screwing up such little pieces of my arms that
I could hardly forbear crying out. Felix, at the same time, stamped
upon my toes. And the Bond of Joy, who on account of always having
the whole of his little income anticipated stood in fact pledged to
abstain from cakes as well as tobacco, so swelled with grief and rage
when we passed a pastry-cook’s shop that he terrified me by becoming
purple. I never u",T,Charles Dickens
"o it! Whenever the old girl says,
I’LL do it. She does it.”

“Then she is as honest and genuine as she looks,” rejoined my
guardian, “and it is impossible to say more for her.”

“She’s Colour-Sergeant of the Nonpareil battalion,” said Mr. Bagnet,
looking at us over his shoulder as he went his way also. “And there’s
not such another. But I never own to it before her. Discipline must
be maintained.”




CHAPTER LIII

The Track


Mr. Bucket and his fat forefinger are much in consultation together
u",T,Charles Dickens
" elapses in the present instance before the old gentleman is
sufficiently cool to resume his discourse, and even then he mixes it
up with several edifying expletives addressed to the unconscious
partner of his bosom, who holds communication with nothing on earth
but the trivets. As thus: “If your father, Bart, had lived longer, he
might have been worth a deal of money—you brimstone chatterer!—but
just as he was beginning to build up the house that he had been
making the foundations for, through ",T,Charles Dickens
