Chunks,NLTK,spaCy,NLTK U spaCy,No_Names
"t
Greenwich pensioners wheezing by the firesides of their wards fog
in the stem and bowl of the afternoon pipe of the wrathful skipper
down in his close cabin fog cruelly pinching the toes and fingers of
his shivering little prentice boy on deck Chance people on the
bridges peeping over the parapets into a nether sky of fog with fog
all round them as if they were up in a balloon and hanging in the
misty clouds

Gas looming through the fog in divers places in the streets much as
the sun may from ",F,F,F,True
"in
his High Court of Chancery

Never can there come fog too thick never can there come mud and mire
too deep to assort with the groping and floundering condition which
this High Court of Chancery most pestilent of hoary sinners holds
this day in the sight of heaven and earth

On such an afternoon if ever the Lord High Chancellor ought to be
sitting hereas here he iswith a foggy glory round his head
softly fenced in with crimson cloth and curtains addressed by a
large advocate with great whiskers",F,F,F,True
" a little voice and an
interminable brief and outwardly directing his contemplation to the
lantern in the roof where he can see nothing but fog On such an
afternoon some score of members of the High Court of Chancery bar
ought to beas here they aremistily engaged in one of the ten
thousand stages of an endless cause tripping one another up on
slippery precedents groping kneedeep in technicalities running
their goathair and horsehair warded heads against walls of words and
making a pretence of eq",F,F,F,True
"uity with serious faces as players might On
such an afternoon the various solicitors in the cause some two or
three of whom have inherited it from their fathers who made a
fortune by it ought to beas are they notranged in a line in a
long matted well but you might look in vain for truth at the bottom
of it between the registrars red table and the silk gowns with
bills crossbills answers rejoinders injunctions affidavits
issues references to masters masters reports mountains of costly
nonsense pi",F,F,F,True
"led before them Well may the court be dim with wasting
candles here and there well may the fog hang heavy in it as if it
would never get out well may the stainedglass windows lose their
colour and admit no light of day into the place well may the
uninitiated from the streets who peep in through the glass panes in
the door be deterred from entrance by its owlish aspect and by the
drawl languidly echoing to the roof from the padded dais where the
Lord High Chancellor looks into the lantern that ha",F,F,F,True
"s no light in it
and where the attendant wigs are all stuck in a fogbank This is the
Court of Chancery which has its decaying houses and its blighted
lands in every shire which has its wornout lunatic in every
madhouse and its dead in every churchyard which has its ruined
suitor with his slipshod heels and threadbare dress borrowing and
begging through the round of every mans acquaintance which gives to
monied might the means abundantly of wearying out the right which so
exhausts finances patien",F,F,F,True
"etter to peer into the curtained
sanctuary is a little mad old woman in a squeezed bonnet who is
always in court from its sitting to its rising and always expecting
some incomprehensible judgment to be given in her favour Some say
she really is or was a party to a suit but no one knows for
certain because no one cares She carries some small litter in a
reticule which she calls her documents principally consisting of
paper matches and dry lavender A sallow prisoner has come up in
custody for the ",F,F,F,True
"halfdozenth time to make a personal application to
purge himself of his contempt which being a solitary surviving
executor who has fallen into a state of conglomeration about accounts
of which it is not pretended that he had ever any knowledge he is
not at all likely ever to do In the meantime his prospects in life
are ended Another ruined suitor who periodically appears from
Shropshire and breaks out into efforts to address the Chancellor at
the close of the days business and who can by no mean",F,F,F,True
"rafters of the roof the very little counsel drops and the fog
knows him no more Everybody looks for him Nobody can see him

I will speak with both the young people says the Chancellor anew
and satisfy myself on the subject of their residing with their
cousin I will mention the matter tomorrow morning when I take my
seat

The Chancellor is about to bow to the bar when the prisoner is
presented Nothing can possibly come of the prisoners conglomeration
but his being sent back to prison which is soo",F,F,F,True
"n done The man from
Shropshire ventures another remonstrative My lord but the
Chancellor being aware of him has dexterously vanished Everybody
else quickly vanishes too A battery of blue bags is loaded with
heavy charges of papers and carried off by clerks the little mad old
woman marches off with her documents the empty court is locked up
If all the injustice it has committed and all the misery it has
caused could only be locked up with it and the whole burnt away in a
great funeral pyrewhy so ",F,F,F,True
